"","ParcelId","Address","SalePrice","SaleDate","SaleCondition","AssessedValue","ParcelType","YearBuilt","GrLivArea","BsmtFinSF1","LotArea","Bedrooms","CentralAir","Fireplaces","Occupancy","Style","Neighborhood","InstrumentNo"
"3704",535154090,"335 22ND ST",150500,"8/1/2005 12:00:00 AM","Normal",157100,"Dwg&Lot",1959,1088,815,9750,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","509679"
"3705",535154100,"341 22ND ST",116500,"9/1/1998 12:00:00 AM","Normal",134100,"Dwg&Lot",1959,1632,0,9750,4,"No",0,"Duplex","One story","N Ames","9812469"
"3706",535154110,"2204 BURNETT AVE",126000,"7/1/2010 12:00:00 AM","Normal",147400,"Dwg&Lot",1960,1176,635,10400,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","201007175"
"3707",535154120,"2214 BURNETT AVE",71000,"1/1/1986 12:00:00 AM","Normal",142800,"Dwg&Lot",1959,1632,0,14268,4,"Yes",0,"Duplex","One story","N Ames","230-36"
"3708",535154130,"2220 BURNETT AVE",149500,"6/1/2009 12:00:00 AM","Normal",162100,"Dwg&Lot",1959,988,708,9240,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","907843"
"3709",535154140,"2304 BURNETT AVE",58400,"1/1/1986 12:00:00 AM","Normal",158400,"Dwg&Lot",1957,1385,829,8954,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","226-27"
"3710",535154150,"2310 BURNETT AVE",165000,"8/1/2015 12:00:00 AM","Normal",149400,"Dwg&Lot",1959,1241,637,7920,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","201508020"
"3711",535154160,"2314 BURNETT AVE",0,"","Normal",132600,"Dwg&Lot",1959,1612,0,8633,4,"Yes",0,"Duplex","One story","N Ames","804940"
"3712",535154170,"2322 BURNETT AVE 2324",0,"","Normal",131300,"Dwg&Lot",1959,1492,0,9557,4,"Yes",0,"Duplex","One story","N Ames","804940"
"3713",535155010,"418 22ND ST",125000,"11/1/2015 12:00:00 AM","Family",146300,"Dwg&Lot",1959,1113,654,8725,3,"Yes",0,"Single-family detached (includes detached townhouses)","Split level","N Ames","201511217"
"3714",535155020,"2121 BURNETT AVE",132500,"6/1/2012 12:00:00 AM","Normal",138300,"Dwg&Lot",1956,1090,874,9638,2,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","201206625"
"3715",535155030,"2115 BURNETT AVE",155000,"12/1/2015 12:00:00 AM","Normal",154400,"Dwg&Lot",1956,1371,0,8906,2,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","201512143"
"3716",535155040,"2111 BURNETT AVE",0,"","Normal",165900,"Dwg&Lot",1956,1430,656,8906,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","9912213"
"3717",535155140,"2024 CLARK AVE",78000,"1/1/1991 12:00:00 AM","Normal",157800,"Dwg&Lot",1956,1388,258,8393,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","281-338"
"3718",535155150,"2102 CLARK AVE",111600,"6/1/2004 12:00:00 AM","Normal",121100,"Dwg&Lot",1956,1098,0,8393,2,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","410634"
"3719",535155160,"2106 CLARK AVE",215000,"6/1/2011 12:00:00 AM","Normal",243100,"Dwg&Lot",1958,1781,1228,9550,2,"Yes",3,"Single-family detached (includes detached townhouses)","Split level","N Ames","201105874"
"3720",535155170,"2112 CLARK AVE",172000,"6/1/2016 12:00:00 AM","Normal",169400,"Dwg&Lot",1959,1275,720,9326,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","201606347"
"3721",535175020,"316 24TH ST",103500,"11/1/1999 12:00:00 AM","Normal",137900,"Dwg&Lot",1960,1184,705,9600,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","9915135"
"3722",535175030,"310 24TH ST",139000,"4/1/2009 12:00:00 AM","Normal",183300,"Dwg&Lot",1958,1632,1240,9600,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","904237"
"3723",535175040,"304 24TH ST",138900,"7/1/2013 12:00:00 AM","Normal",148000,"Dwg&Lot",1958,1129,1036,10200,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","201308371"
"3724",535175050,"2315 DUFF AVE",183500,"10/1/2014 12:00:00 AM","Normal",168700,"Dwg&Lot",1958,1215,585,12400,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","201409294"
"3725",535175060,"2305 DUFF AVE",162400,"4/1/2011 12:00:00 AM","Normal",183900,"Dwg&Lot",1958,1561,1158,10700,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","201104122"
"3726",535175070,"2223 DUFF AVE",167500,"4/1/2010 12:00:00 AM","Normal",177600,"Dwg&Lot",1960,1264,611,9300,3,"Yes",2,"Single-family detached (includes detached townhouses)","One story","N Ames","1003154"
"3727",535175080,"2217 DUFF AVE",158000,"12/1/2010 12:00:00 AM","Normal",175400,"Dwg&Lot",1960,1243,627,9000,3,"Yes",1,"Single-family detached (includes detached townhouses)","Split level","N Ames","201013170"
"3728",535175090,"2211 DUFF AVE",130000,"8/1/2013 12:00:00 AM","Normal",198200,"Dwg&Lot",1958,1309,1313,10500,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","201310405"
"3729",535175100,"207 22ND ST",0,"","Normal",198600,"Dwg&Lot",1958,1435,1078,14100,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","811334"
"3730",535175110,"217 22ND ST",0,"","Normal",230500,"Dwg&Lot",1957,2322,581,10075,3,"Yes",2,"Single-family detached (includes detached townhouses)","One story","N Ames","201305133"
"3731",535175120,"305 22ND ST",161500,"7/1/2014 12:00:00 AM","Normal",148800,"Dwg&Lot",1956,1090,1090,8357,2,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","201406613"
"3732",535175130,"311 22ND ST",113800,"3/1/1999 12:00:00 AM","Normal",143400,"Dwg&Lot",1958,1141,594,7020,2,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","9904224"
"3733",535175140,"2206 KELLOGG AVE",0,"","Normal",181800,"Dwg&Lot",1959,1490,901,11100,3,"Yes",1,"Single-family detached (includes detached townhouses)","Split level","N Ames","9916766"
"3734",535175150,"2212 KELLOGG AVE",171500,"11/1/2013 12:00:00 AM","Normal",156000,"Dwg&Lot",1959,1196,575,9928,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","201313656"
"3735",535175160,"2218 KELLOGG AVE",137000,"11/1/2014 12:00:00 AM","Normal",139300,"Dwg&Lot",1959,1102,699,9100,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","201410555"
"3736",535175170,"2222 KELLOGG AVE",184500,"2/1/2014 12:00:00 AM","Normal",199700,"Dwg&Lot",1959,1434,1064,10770,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","201401392"
"3737",535175180,"2304 KELLOGG AVE",108538,"5/1/2010 12:00:00 AM","Normal",147000,"Dwg&Lot",1959,1206,936,10725,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","201600682"
"3738",535175190,"2314 KELLOGG AVE",0,"","Normal",166200,"Dwg&Lot",1960,1326,646,9400,2,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","106136"
"3739",535176010,"220 24TH ST",199500,"5/1/1995 12:00:00 AM","Normal",290900,"Dwg&Lot",1960,2530,937,11700,4,"Yes",3,"Single-family detached (includes detached townhouses)","One story","N Ames","904425"
"3740",535176020,"210 24TH ST",221000,"11/1/2011 12:00:00 AM","Normal",257100,"Dwg&Lot",1960,1900,1571,12350,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","201112021"
"3741",535176030,"204 24TH ST",181000,"3/1/2000 12:00:00 AM","Normal",240400,"Dwg&Lot",1960,1729,1470,12142,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","2553"
"3742",535176040,"2313 BROADMOOR AVE",185000,"5/1/1998 12:00:00 AM","Normal",251800,"Dwg&Lot",1959,2110,797,13350,4,"Yes",3,"Single-family detached (includes detached townhouses)","One story","N Ames","9806915"
"3743",535176050,"2305 BROADMOOR AVE",145250,"4/1/2006 12:00:00 AM","Normal",161400,"Dwg&Lot",1960,1383,565,11600,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","604167"
"3744",535176060,"2219 BROADMOOR AVE",82000,"10/1/1993 12:00:00 AM","Normal",140700,"Dwg&Lot",1958,1092,750,9200,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","561-254"
"3745",535176070,"2204 DUFF AVE",150000,"5/1/2007 12:00:00 AM","Normal",163800,"Dwg&Lot",1957,1244,777,11988,3,"Yes",2,"Single-family detached (includes detached townhouses)","One story","N Ames","706332"
"3746",535176080,"2208 DUFF AVE",169200,"8/1/2012 12:00:00 AM","Normal",189200,"Dwg&Lot",1958,1541,1258,11350,3,"Yes",2,"Single-family detached (includes detached townhouses)","One story","N Ames","201210753"
"3747",535176090,"2216 DUFF AVE",0,"","Normal",225100,"Dwg&Lot",1958,2035,921,11893,4,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","9503998"
"3748",535176100,"2222 DUFF AVE",166800,"5/1/2008 12:00:00 AM","Normal",189900,"Dwg&Lot",1958,1570,958,13200,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","806007"
"3749",535176110,"2312 DUFF AVE",119000,"8/1/1996 12:00:00 AM","Normal",182200,"Dwg&Lot",1959,1538,1130,13400,3,"Yes",2,"Single-family detached (includes detached townhouses)","One story","N Ames","9608808"
"3750",535176120,"2324 DUFF AVE",220000,"2/1/2016 12:00:00 AM","Normal",213300,"Dwg&Lot",1960,1596,1045,12402,3,"Yes",2,"Single-family detached (includes detached townhouses)","One story","N Ames","201601481"
"3751",535177010,"132 24TH ST",204000,"6/1/2015 12:00:00 AM","Normal",203000,"Dwg&Lot",1959,1615,552,10608,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","201506428"
"3752",535177020,"126 24TH ST",130000,"2/1/2014 12:00:00 AM","Family",143500,"Dwg&Lot",1960,1144,0,9100,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","201401459"
"3753",535177030,"122 24TH ST",0,"","Normal",171200,"Dwg&Lot",1960,1195,805,9100,3,"Yes",1,"Single-family detached (includes detached townhouses)","Split level","N Ames","201304238"
"3754",535177040,"2314 BROADMOOR AVE",118000,"9/1/2001 12:00:00 AM","Family",153000,"Dwg&Lot",1958,1144,840,9625,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","114150"
"3755",535177045,"2304 BROADMOOR AVE",125000,"12/1/2015 12:00:00 AM","Normal",158700,"Dwg&Lot",1959,1179,875,9886,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","201600141"
"3756",535177065,"127 BROADMOOR CIR",130000,"2/1/2014 12:00:00 AM","Normal",285800,"Dwg&Lot",1958,2978,0,17732,3,"Yes",2,"Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","N Ames","201401481"
"3757",535177070,"123 BROADMOOR CIR",91000,"1/1/1992 12:00:00 AM","Normal",154900,"Dwg&Lot",1959,1277,962,10458,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","286-312"
"3758",535177080,"126 BROADMOOR CIR",93000,"7/1/1986 12:00:00 AM","Normal",191200,"Dwg&Lot",1959,1506,52,18800,4,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","708013"
"3759",535177090,"132 BROADMOOR CIR",89500,"1/1/1985 12:00:00 AM","Normal",181400,"Dwg&Lot",1959,1456,0,10500,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","236-258"
"3760",535177100,"2136 DUFF AVE",162000,"12/1/2006 12:00:00 AM","Normal",174400,"Dwg&Lot",1958,1336,203,9610,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","614696"
"3761",535177110,"2130 DUFF AVE",210000,"5/1/2016 12:00:00 AM","Normal",203500,"Dwg&Lot",1957,1721,806,9736,4,"Yes",3,"Single-family detached (includes detached townhouses)","One story","N Ames","201604575"
"3762",535177120,"2124 DUFF AVE",100000,"7/1/1997 12:00:00 AM","Normal",149400,"Dwg&Lot",1958,1209,1105,9768,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","201401531"
"3763",535177130,"2116 DUFF AVE",0,"","Normal",187100,"Dwg&Lot",1958,1324,956,11900,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","415638"
"3764",535178010,"2117 KELLOGG AVE",0,"","Normal",140400,"Dwg&Lot",1956,1020,0,8750,1,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","410611"
"3765",535178030,"2107 KELLOGG AVE",0,"","Normal",137900,"Dwg&Lot",1957,1192,989,8125,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","163-224"
"3766",535178040,"2101 KELLOGG AVE",120000,"11/1/2009 12:00:00 AM","Abnorml",153600,"Dwg&Lot",1956,1202,637,8750,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","914049"
