"Parcel ID","Address","Sale Price","Sale Date","Sale Condition","Assessed Value","Parcel Type","Year Built","Total Living Area","Finished Bsmt Area","Lot Area","Bedrooms","Central Air","Fireplaces","Occupancy","Style","Neighborhood","INSTRUMENTNUMBER"
"0527105100","3910 HYDE AVE","217982","8/1/2003 12:00:00 AM","Partial","257100","Dwg&Lot","2003","2113","0","11678","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","317683"
"0527105110","3914 HYDE AVE","242000","8/1/2012 12:00:00 AM","Normal","269300","Dwg&Lot","2003","2017","727","12054","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","201209091"
"0527105130","4006 HYDE AVE","287000","1/1/2014 12:00:00 AM","Normal","294600","Dwg&Lot","2003","2283","850","11792","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","201400281"
"0527105140","4012 HYDE AVE","225000","10/1/2007 12:00:00 AM","Family","221600","Dwg&Lot","2003","1733","135","12394","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","712637"
"0527127170","1826 WATERBURY CIR","32500","6/1/2003 12:00:00 AM","Normal","337400","Dwg&Lot","2003","1650","1322","4920","1","Yes","1","Townhouse:  end unit","One story","Stonebr","311179"
"0527127180","1830 WATERBURY CIR","268000","8/1/2013 12:00:00 AM","Normal","296200","Dwg&Lot","2003","1626","767","4920","2","Yes","0","Townhouse:  end unit","One story","Stonebr","201309627"
"0527127190","1834 WATERBURY CIR","32500","6/1/2004 12:00:00 AM","Partial","311000","Dwg&Lot","2003","1605","1123","4920","2","Yes","1","Townhouse:  end unit","One story","Stonebr","408166"
"0527127200","4304 STONE BROOKE RD","32500","8/1/2003 12:00:00 AM","Normal","298300","Dwg&Lot","2003","1510","1147","7083","1","Yes","1","Townhouse:  end unit","One story","Stonebr","317579"
"0527208050","1425 EDGEWATER CT","830000","8/1/2016 12:00:00 AM","Normal","698800","Dwg&Lot","2003","4075","1512","28331","4","Yes","2","Single-family detached (includes detached townhouses)","Two story","Stonebr","201609661"
"0527208060","1419 EDGEWATER CT","481966","5/1/2004 12:00:00 AM","Partial","685400","Dwg&Lot","2003","2949","1635","11259","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","406068"
"0527208070","1413 EDGEWATER CT","527239","10/1/2003 12:00:00 AM","Partial","636800","Dwg&Lot","2003","2557","1666","10680","3","Yes","1","Single-family detached (includes detached townhouses)","One story","Stonebr","323298"
"0527208080","1407 EDGEWATER CT","666013","2/1/2004 12:00:00 AM","Partial","812100","Dwg&Lot","2003","3986","1255","11117","3","Yes","3","Single-family detached (includes detached townhouses)","Two story","Stonebr","404487"
"0527212010","4114 EDGEWATER DR","584158","6/1/2004 12:00:00 AM","Partial","489800","Dwg&Lot","2003","1928","1495","44269","2","Yes","2","Single-family detached (includes detached townhouses)","One story","Stonebr","408188"
"0527214020","4007 FRANCES E DAVIS CT","346990","4/1/2004 12:00:00 AM","Normal","444700","Dwg&Lot","2003","2558","1160","12833","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","405573"
"0527216040","4023 LAURA CT","364607","6/1/2004 12:00:00 AM","Partial","417100","Dwg&Lot","2003","2655","0","16022","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","407994"
"0527216070","4126 LAURA CT","538000","6/1/2010 12:00:00 AM","Normal","685000","Dwg&Lot","2003","3279","1416","53504","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","1005966"
"0527216100","4108 LAURA CT","585000","9/1/2015 12:00:00 AM","Normal","863000","Dwg&Lot","2003","4026","1963","25765","3","Yes","3","Single-family detached (includes detached townhouses)","Two story","Stonebr","201509551"
"0527216140","4008 LAURA CT","323718","9/1/2004 12:00:00 AM","Partial","346500","Dwg&Lot","2003","2485","0","13647","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","201600189"
"0527363040","2823 SOMERSET DR","35500","4/1/2003 12:00:00 AM","Normal","234900","Dwg&Lot","2003","1952","0","7604","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Somerst","306786"
"0527364010","2755 SOMERSET DR","254000","9/1/2016 12:00:00 AM","Normal","217800","Dwg&Lot","2003","1744","596","8000","3","Yes","0","Single-family detached (includes detached townhouses)","Two story","Somerst","201609161"
"0527364030","2723 SOMERSET DR","246000","6/1/2011 12:00:00 AM","Normal","234000","Dwg&Lot","2003","1884","622","7000","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Somerst","201106217"
"0527366060","2836 SOMERSET DR","263220","2/1/2004 12:00:00 AM","Partial","261700","Dwg&Lot","2003","1834","803","8938","2","Yes","2","Single-family detached (includes detached townhouses)","One story","Somerst","403807"
"0528116050","4001 WEMBLEY AVE","231350","5/1/2003 12:00:00 AM","Partial","312800","Dwg&Lot","2003","2164","0","22414","3","Yes","0","Single-family detached (includes detached townhouses)","One story","NRidgHt","313435"
"0528142105","3043 HARRISON RD","47500","10/1/2003 12:00:00 AM","Normal","379600","Dwg&Lot","2003","2852","333","12640","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","324743"
"0528142110","3049 HARRISON RD","426000","8/1/2016 12:00:00 AM","Normal","345900","Dwg&Lot","2003","1944","1274","12378","3","Yes","3","Single-family detached (includes detached townhouses)","One story","NRidgHt","201608737"
"0528142130","3107 HARRISON RD","284000","10/1/2009 12:00:00 AM","Normal","293000","Dwg&Lot","2003","1629","1603","10655","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","913376"
"0528142150","3119 HARRISON RD","277500","7/1/2012 12:00:00 AM","Normal","283200","Dwg&Lot","2003","1760","1262","12878","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","201208404"
"0528150100","3209 HARRISON RD","352500","11/1/2010 12:00:00 AM","Normal","358400","Dwg&Lot","2003","2382","1026","12188","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201100333"
"0528150130","3311 HARRISON RD","314000","2/1/2005 12:00:00 AM","Normal","308000","Dwg&Lot","2003","1756","1296","12376","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","502906"
"0528150160","3329 HARRISON RD","405000","8/1/2005 12:00:00 AM","Normal","310600","Dwg&Lot","2003","1862","976","12501","2","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","510042"
"0528164020","3344 FOXLEY DR","287500","1/1/2004 12:00:00 AM","Normal","304100","Dwg&Lot","2003","2458","614","13011","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","415641"
"0528164030","3338 FOXLEY DR","55000","10/1/2003 12:00:00 AM","Normal","291500","Dwg&Lot","2003","2240","0","12001","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","321808"
"0528164040","3332 FOXLEY DR","374000","8/1/2006 12:00:00 AM","Normal","350400","Dwg&Lot","2003","1792","1567","11846","2","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","610307"
"0528164060","3320 FOXLEY DR","615000","2/1/2008 12:00:00 AM","Normal","663100","Dwg&Lot","2003","2470","2257","12722","1","Yes","2","Single-family detached (includes detached townhouses)","One story","NRidgHt","201611597"
"0528164080","3308 FOXLEY DR","0","8/1/2003 12:00:00 AM","Normal","746900","Dwg&Lot","2003","2968","2203","12153","2","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","711119"
"0528166030","3316 HARRISON RD","449000","8/1/2012 12:00:00 AM","Normal","429600","Dwg&Lot","2003","2787","1246","13788","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201209085"
"0528166040","3310 HARRISON RD","396950","7/1/2004 12:00:00 AM","Partial","392100","Dwg&Lot","2003","2072","1461","14543","2","Yes","2","Single-family detached (includes detached townhouses)","One story","NRidgHt","410544"
"0528166060","3214 HARRISON RD","500000","5/1/2014 12:00:00 AM","Normal","516800","Dwg&Lot","2003","2392","1893","13472","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","201403938"
"0528166080","3202 HARRISON RD","274000","5/1/2004 12:00:00 AM","Partial","315400","Dwg&Lot","2003","2340","1043","14372","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","406277"
"0528166090","3201 FOXLEY DR","445000","7/1/2009 12:00:00 AM","Normal","429800","Dwg&Lot","2003","2452","1972","15274","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","908452"
"0528166100","3207 FOXLEY DR","307813","8/1/2003 12:00:00 AM","Partial","352600","Dwg&Lot","2003","2818","0","14755","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","318378"
"0528166110","3213 FOXLEY DR","340000","11/1/2003 12:00:00 AM","Partial","335700","Dwg&Lot","2003","2535","883","13983","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","323443"
"0528166120","3301 FOXLEY DR","412500","3/1/2008 12:00:00 AM","Normal","398100","Dwg&Lot","2003","2668","1016","13688","3","Yes","2","Single-family detached (includes detached townhouses)","Two story","NRidgHt","808177"
"0528166140","3315 FOXLEY DR","402106","5/1/2003 12:00:00 AM","Partial","413700","Dwg&Lot","2003","2426","1617","13734","1","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","310059"
"0528166150","3321 FOXLEY DR","350000","1/1/2007 12:00:00 AM","Normal","334900","Dwg&Lot","2003","2385","938","14277","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","700619"
"0528166160","3335 FOXLEY DR","410000","4/1/2005 12:00:00 AM","Normal","390200","Dwg&Lot","2003","2540","1028","14055","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","503860"
"0528168010","3914 VALLEY VIEW RD","310000","6/1/2004 12:00:00 AM","Partial","317800","Dwg&Lot","2003","1754","1128","15481","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","201504984"
"0528168030","3902 VALLEY VIEW RD","290000","6/1/2009 12:00:00 AM","Normal","273900","Dwg&Lot","2003","2400","0","13262","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","907255"
"0528168040","3818 VALLEY VIEW RD","285000","5/1/2007 12:00:00 AM","Normal","302700","Dwg&Lot","2003","2374","721","11999","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","705695"
"0528170010","3132 ROXBORO DR","259000","12/1/2012 12:00:00 AM","Normal","269000","Dwg&Lot","2003","1997","0","12917","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201215317"
"0528170020","3126 ROXBORO DR","288500","4/1/2004 12:00:00 AM","Partial","284900","Dwg&Lot","2003","2151","0","10648","4","Yes","1","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","NRidgHt","403901"
"0528170055","3038 ROXBORO DR","319500","6/1/2014 12:00:00 AM","Normal","271300","Dwg&Lot","2003","2270","560","10000","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201405595"
"0528170070","3026 ROXBORO DR","284000","8/1/2008 12:00:00 AM","Normal","289400","Dwg&Lot","2003","2046","866","10625","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201314290"
"0528170080","3020 ROXBORO DR","259500","5/1/2013 12:00:00 AM","Normal","257900","Dwg&Lot","2003","1911","700","9375","3","Yes","0","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201306164"
"0528170110","3002 ROXBORO DR","233140","10/1/2003 12:00:00 AM","Partial","243200","Dwg&Lot","2003","2284","0","10688","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","322121"
"0528172010","3129 ROXBORO DR","307500","4/1/2013 12:00:00 AM","Normal","313900","Dwg&Lot","2003","2299","1167","17112","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201305296"
