"Parcel ID","Address","Sale Price","Sale Date","Sale Condition","Assessed Value","Parcel Type","Year Built","Total Living Area","Finished Bsmt Area","Lot Area","Bedrooms","Central Air","Fireplaces","Occupancy","Style","Neighborhood","INSTRUMENTNUMBER"
"0526300100","3514 GRAND AVE","50000","7/1/1993 12:00:00 AM","Normal","193800","Dwg&Lot","1930","1754","0","24742","3","Yes","1","Single-family detached (includes detached townhouses)","One story","N Ames","528-270"
"0531477070","1506 DELAWARE AVE","72000","6/1/2001 12:00:00 AM","Normal","84200","Dwg&Lot","1937","1120","0","9000","3","Yes","1","Single-family detached (includes detached townhouses)","One story","SawyerW","108415"
"0533200190","2825 GEORGE W CARVER AVE","92610","11/1/1993 12:00:00 AM","Abnorml","177800","Dwg&Lot","1930","1558","423","29780","4","Yes","1","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","Somerst","201601497"
"0533352060","2909 ONTARIO ST","142500","4/1/2000 12:00:00 AM","Normal","178400","Dwg&Lot","1938","2325","464","12752","4","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","Sawyer","4150"
"0534129280","2519 HOOVER AVE","215000","6/1/1996 12:00:00 AM","Normal","347900","Dwg&Lot","1939","2282","1052","58015","4","Yes","2","Single-family detached (includes detached townhouses)","Two story","NW Ames","9606050"
"0534425170","903 MURRAY DR","114900","4/1/1993 12:00:00 AM","Normal","207700","Dwg&Lot","1936","2178","302","19588","4","Yes","2","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","N Ames","505-344"
"0534429190","803 MURRAY DR","71500","1/1/1992 12:00:00 AM","Normal","144800","Dwg&Lot","1939","1092","369","10910","2","Yes","1","Single-family detached (includes detached townhouses)","Two story","N Ames","282-221"
"0534430050","1008 MURRAY DR","129800","7/1/2006 12:00:00 AM","Normal","136900","Dwg&Lot","1934","816","574","8550","2","Yes","1","Single-family detached (includes detached townhouses)","One story","N Ames","608793"
"0534450230","1311 CRESCENT ST","0","","Normal","95800","Dwg&Lot","1937","833","833","6737","2","Yes","0","Single-family detached (includes detached townhouses)","One story","BrkSide","193-292"
"0534451160","1424 SUMMIT AVE","106500","10/1/2013 12:00:00 AM","Normal","100300","Dwg&Lot","1935","878","0","4775","2","Yes","0","Single-family detached (includes detached townhouses)","One story","BrkSide","201313287"
"0534451170","1430 SUMMIT AVE","52000","7/1/2008 12:00:00 AM","Normal","58800","Dwg&Lot","1935","729","0","4130","2","Yes","0","Single-family detached (includes detached townhouses)","One story","BrkSide","808359"
"0534452010","1410 CRESCENT ST","86000","6/1/2004 12:00:00 AM","Normal","90900","Dwg&Lot","1930","873","0","4565","2","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","BrkSide","408266"
"0534452050","1305 RIDGEWOOD AVE","158500","6/1/2003 12:00:00 AM","Normal","179400","Dwg&Lot","1930","1676","551","14365","4","Yes","2","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","BrkSide","314338"
"0534452060","1301 RIDGEWOOD AVE 1303","124000","3/1/2014 12:00:00 AM","Normal","132100","Dwg&Lot","1939","1077","851","7420","2","Yes","2","Two-family conversion; originally built as one-family dwelling","One and one-half story:  2nd level unfinished","BrkSide","201401766"
"0534453090","1426 RIDGEWOOD AVE","59900","7/1/1998 12:00:00 AM","Normal","84000","Dwg&Lot","1937","1000","0","5250","3","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","BrkSide","9810650"
"0534453140","1406 RIDGEWOOD AVE","99000","11/1/2015 12:00:00 AM","Normal","87800","Dwg&Lot","1937","906","120","4882","2","Yes","0","Single-family detached (includes detached townhouses)","Two story","BrkSide","201511579"
"0535303170","1602 GRAND AVE","95000","1/1/1985 12:00:00 AM","Abnorml","317400","Dwg&Lot","1939","3044","777","35467","5","Yes","2","Single-family detached (includes detached townhouses)","Two story","N Ames","9510587"
"0535303200","1714 GRAND AVE","112000","8/1/2011 12:00:00 AM","Normal","140900","Dwg&Lot","1939","1164","481","13020","2","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","N Ames","201108052"
"0535325360","303 16TH ST","42000","1/1/1991 12:00:00 AM","Normal","111200","Dwg&Lot","1939","917","0","9690","1","Yes","0","Single-family detached (includes detached townhouses)","One story","N Ames","279-78"
"0535325370","305 16TH ST","86900","4/1/1994 12:00:00 AM","Normal","155500","Dwg&Lot","1937","1314","360","14872","3","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","N Ames","510638"
"0535352030","1527 BURNETT AVE","44000","4/1/1995 12:00:00 AM","Normal","102700","Dwg&Lot","1930","929","0","9850","2","Yes","0","Single-family detached (includes detached townhouses)","One story","N Ames","201312198"
"0535355020","1425 BURNETT AVE","193000","10/1/2012 12:00:00 AM","Abnorml","279100","Dwg&Lot","1935","3086","0","21281","5","Yes","1","Single-family detached (includes detached townhouses)","Two story","N Ames","201213730"
"0535355190","1432 CLARK AVE","108000","5/1/2002 12:00:00 AM","Normal","133400","Dwg&Lot","1935","1012","559","8672","2","Yes","0","Single-family detached (includes detached townhouses)","One story","N Ames","208430"
"0535375040","1521 KELLOGG AVE","102500","9/1/2011 12:00:00 AM","Normal","104900","Dwg&Lot","1930","713","0","10410","2","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","201109367"
"0535375070","1505 KELLOGG AVE","58000","5/1/1995 12:00:00 AM","Normal","122700","Dwg&Lot","1930","999","475","10410","2","Yes","0","Two-family conversion; originally built as one-family dwelling","One and one-half story:  2nd level finished","OldTown","9504363"
"0535375100","1504 BURNETT AVE","97500","8/1/2015 12:00:00 AM","Normal","113600","Dwg&Lot","1930","812","0","10176","1","Yes","0","Single-family detached (includes detached townhouses)","Two story","OldTown","201508032"
"0535376050","1513 DOUGLAS AVE","69500","9/1/1995 12:00:00 AM","Normal","134500","Dwg&Lot","1930","1377","455","10800","3","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","9508678"
"0535376060","1511 DOUGLAS AVE","157000","4/1/2013 12:00:00 AM","Normal","160700","Dwg&Lot","1939","1352","0","10800","4","Yes","0","Single-family detached (includes detached townhouses)","Two story","OldTown","201304054"
"0535376160","1532 KELLOGG AVE","54500","8/1/1998 12:00:00 AM","Normal","74400","Dwg&Lot","1930","768","264","6250","2","No","0","Single-family detached (includes detached townhouses)","One story","OldTown","9813128"
"0535377030","1525 DUFF AVE","0","","Normal","93000","Dwg&Lot","1932","847","0","9075","3","Yes","0","Single-family detached (includes detached townhouses)","One story","N Ames","195-300"
"0535377040","1523 DUFF AVE","91500","4/1/2004 12:00:00 AM","Normal","103400","Dwg&Lot","1932","800","165","10893","1","Yes","0","Single-family detached (includes detached townhouses)","One story","N Ames","404914"
"0535379010","1431 DOUGLAS AVE","185500","6/1/2011 12:00:00 AM","Normal","195100","Dwg&Lot","1931","1509","1145","10800","1","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","201106441"
"0535379030","1421 DOUGLAS AVE","80000","8/1/2010 12:00:00 AM","Normal","93200","Dwg&Lot","1930","743","0","10800","2","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","201007715"
"0535382130","1318 KELLOGG AVE","170000","4/1/2006 12:00:00 AM","Normal","184100","Dwg&Lot","1936","1466","626","10800","3","Yes","1","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","604777"
"0902101100","1214 WILSON AVE","0","","Normal","174800","Dwg&Lot","1932","1949","0","8525","3","Yes","0","Single-family detached (includes detached townhouses)","Two story","OldTown","138-321"
"0902102030","1227 BURNETT AVE","99900","5/1/2002 12:00:00 AM","Normal","151100","Dwg&Lot","1930","1876","0","8630","3","Yes","1","Single-family detached (includes detached townhouses)","One story","OldTown","208055"
"0902102120","1212 CLARK AVE","140000","11/1/2000 12:00:00 AM","Normal","181500","Dwg&Lot","1937","1875","0","9600","3","Yes","2","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","13759"
"0902103060","1117 WILSON AVE","119000","9/1/1999 12:00:00 AM","Normal","123600","Dwg&Lot","1930","1274","43","9600","3","Yes","0","Single-family detached (includes detached townhouses)","Two story","OldTown","9913590"
"0902103100","611 11TH ST","128900","6/1/2009 12:00:00 AM","Normal","142800","Dwg&Lot","1935","1378","595","4080","3","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","907890"
"0902106010","622 11TH ST","187100","7/1/2015 12:00:00 AM","Normal","148000","Dwg&Lot","1939","1558","421","6406","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","OldTown","201506995"
"0902106020","618 11TH ST","199900","6/1/2016 12:00:00 AM","Normal","138100","Dwg&Lot","1938","1370","0","6406","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","OldTown","201605354"
"0902108010","1017 BURNETT AVE","0","","Normal","171100","Dwg&Lot","1930","2020","885","10440","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","OldTown","201602951"
"0902108060","417 10TH ST","105000","7/1/2006 12:00:00 AM","Normal","110500","Dwg&Lot","1930","1004","0","3960","2","No","1","Single-family detached (includes detached townhouses)","Two story","OldTown","608951"
"0902109010","626 10TH ST","110000","6/1/2006 12:00:00 AM","Normal","102300","Dwg&Lot","1930","813","0","5684","2","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","606968"
"0902125105","1204 BURNETT AVE","136000","9/1/2010 12:00:00 AM","Abnorml","112000","Dwg&Lot","1930","1788","0","7000","4","Yes","0","Duplex","Two story","OldTown",""
"0902128080","1103 KELLOGG AVE","80700","5/1/1996 12:00:00 AM","Normal","145000","Dwg&Lot","1930","1710","357","4800","3","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","9604605"
"0902132080","1004 KELLOGG AVE","69000","1/1/1984 12:00:00 AM","Normal","179000","Dwg&Lot","1930","1872","131","12000","3","No","1","Single-family detached (includes detached townhouses)","Two and one-half story:  3rd level finished","OldTown","201605734"
"0902134070","905 KELLOGG AVE","120000","2/1/2012 12:00:00 AM","Normal","138100","Dwg&Lot","1937","1920","960","7596","4","Yes","0","Duplex","Two story","OldTown","201202219"
"0902136080","905 DUFF AVE","104850","1/1/2003 12:00:00 AM","Normal","109200","Dwg&Lot","1935","1030","230","5544","2","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","302039"
"0902136090","105 9TH ST","0","","Normal","175600","Dwg&Lot","1939","2040","312","6750","4","Yes","2","Single-family detached (includes detached townhouses)","Two story","OldTown","225-330"
"0902136130","119 9TH ST","140000","4/1/2016 12:00:00 AM","Normal","120200","Dwg&Lot","1934","1248","474","4800","3","Yes","0","Single-family detached (includes detached townhouses)","Two story","OldTown","201603162"
"0902200020","120 E 13TH ST","50000","10/1/1994 12:00:00 AM","Normal","98100","Dwg&Lot","1939","1012","0","7524","2","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","210794"
"0902200050","1217 CARROLL AVE","0","","Normal","128000","Dwg&Lot","1935","1109","504","9735","2","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","159-181"
"0902202030","1223 MAXWELL AVE","99900","12/1/2005 12:00:00 AM","Normal","95800","Dwg&Lot","1933","968","0","5925","2","No","0","Single-family detached (includes detached townhouses)","One story","OldTown","515526"
"0902202070","1209 MAXWELL AVE","128715","5/1/2015 12:00:00 AM","Allocat","125600","Dwg&Lot","1937","1131","168","5925","2","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","201507604"
"0902203070","1107 CARROLL AVE","89000","12/1/2012 12:00:00 AM","Family","97000","Dwg&Lot","1938","994","0","6600","2","No","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","201215780"
"0902204020","1121 STAFFORD AVE","52000","5/1/1993 12:00:00 AM","Normal","110100","Dwg&Lot","1939","1133","0","6000","3","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","517-100"
"0902204040","1115 STAFFORD AVE","103000","6/1/2003 12:00:00 AM","Normal","116800","Dwg&Lot","1930","1164","0","6000","4","Yes","1","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","313422"
"0902204070","213 E 11TH ST","127000","3/1/1998 12:00:00 AM","Normal","163600","Dwg&Lot","1938","742","742","7404","1","Yes","1","Single-family detached (includes detached townhouses)","One story","OldTown","201605746"
"0902206070","1001 CARROLL AVE","41900","1/1/1990 12:00:00 AM","Normal","108600","Dwg&Lot","1934","857","624","11862","2","No","2","Single-family detached (includes detached townhouses)","One story","OldTown","265-224"
"0902206100","921 CARROLL AVE","110500","7/1/2015 12:00:00 AM","Normal","111700","Dwg&Lot","1938","896","0","12626","2","No","0","Single-family detached (includes detached townhouses)","One story","OldTown","201507166"
"0902206130","129 E 9TH ST","119000","1/1/2010 12:00:00 AM","Normal","127200","Dwg&Lot","1938","1251","0","6900","3","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level unfinished","OldTown","1001133"
"0902206190","103 E 9TH ST","59000","9/1/2014 12:00:00 AM","Normal","76400","Dwg&Lot","1935","1048","0","4145","2","Yes","1","Single-family detached (includes detached townhouses)","One story","OldTown","201408030"
"0902206210","910 DUFF AVE","54000","10/1/1994 12:00:00 AM","Normal","99200","Dwg&Lot","1936","1266","343","4190","2","No","1","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","9411585"
"0902206260","926 DUFF AVE","91300","12/1/2009 12:00:00 AM","Normal","97700","Dwg&Lot","1938","886","0","5784","2","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","915366"
"0902207090","1014 STAFFORD AVE","127900","6/1/2013 12:00:00 AM","Normal","137000","Dwg&Lot","1935","1456","0","5820","3","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","201308061"
"0902207180","239 E 9TH ST","100000","1/1/2014 12:00:00 AM","Normal","102300","Dwg&Lot","1935","1036","243","5040","2","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","201400875"
"0902207270","1012 CARROLL AVE","79500","8/1/1998 12:00:00 AM","Normal","110200","Dwg&Lot","1930","974","0","5820","2","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","9811210"
"0902207280","1016 CARROLL AVE","57900","1/1/1992 12:00:00 AM","Normal","106800","Dwg&Lot","1930","749","530","5820","2","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","288-146"
"0902301100","810 WILSON AVE","68000","1/1/1992 12:00:00 AM","Normal","134700","Dwg&Lot","1930","1553","294","9143","3","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","292-112"
"0902302040","827 BURNETT AVE","124000","7/1/2001 12:00:00 AM","Normal","132600","Dwg&Lot","1930","1499","0","6090","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","OldTown","201106896"
"0902302160","830 CLARK AVE","104000","8/1/1998 12:00:00 AM","Normal","143700","Dwg&Lot","1938","1082","567","8070","2","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level unfinished","OldTown","9811022"
"0902304050","715 CLARK AVE","138000","1/1/2005 12:00:00 AM","Normal","150800","Dwg&Lot","1935","1426","728","9600","4","Yes","1","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","500575"
"0902305010","412 8TH ST","124500","7/1/2007 12:00:00 AM","Partial","131700","Dwg&Lot","1930","1358","316","3600","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","OldTown","708742"
"0902306140","613 CLARK AVE","0","","Abnorml","170300","Dwg&Lot","1930","2208","0","9600","2","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","52-348"
"0902325080","307 8TH ST","104000","5/1/2003 12:00:00 AM","Abnorml","120500","Dwg&Lot","1930","1500","0","16200","3","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","201610992"
"0902329060","205 7TH ST","0","","Normal","174200","Dwg&Lot","1937","2028","336","7200","4","Yes","1","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","259-189"
"0902375205","313 5TH ST UNIT 201","0","","No Data","103100","Dwg&Lot","1938","945","0","1273","2","Yes","0","Condominium unit","One story","MsCondo",""
"0902375210","313 5TH ST UNIT 202","0","","No Data","94600","Dwg&Lot","1938","867","0","1167","2","Yes","0","Condominium unit","One story","MsCondo",""
"0902375215","313 5TH ST UNIT 203","0","","No Data","95200","Dwg&Lot","1938","873","0","1175","2","Yes","0","Condominium unit","One story","MsCondo",""
"0902375220","313 5TH ST UNIT 204","0","","No Data","87600","Dwg&Lot","1938","803","0","1082","1","Yes","0","Condominium unit","One story","MsCondo",""
"0902401040","719 CARROLL AVE","49550","8/1/1995 12:00:00 AM","Abnorml","96100","Dwg&Lot","1935","870","336","5400","2","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","9507145"
"0902401050","717 CARROLL AVE","49900","1/1/1992 12:00:00 AM","Normal","104900","Dwg&Lot","1935","845","542","5400","2","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level unfinished","OldTown","291-259"
"0902401100","111 E 7TH ST","97000","3/1/2015 12:00:00 AM","Normal","72700","Dwg&Lot","1930","1030","0","4500","2","No","0","Duplex","One story","OldTown","201501935"
"0902402020","218 E 9TH ST","63000","6/1/1995 12:00:00 AM","Normal","105700","Dwg&Lot","1930","848","768","8091","2","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","108290"
"0902402030","220 E 9TH ST","0","","Normal","114700","Dwg&Lot","1930","818","818","6880","2","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","201201075"
