"Parcel ID","Address","Sale Price","Sale Date","Sale Condition","Assessed Value","Parcel Type","Year Built","Total Living Area","Finished Bsmt Area","Lot Area","Bedrooms","Central Air","Fireplaces","Occupancy","Style","Neighborhood","INSTRUMENTNUMBER"
"0526150030","3708 GRAND AVE","395000","7/1/2005 12:00:00 AM","Normal","463100","Dwg&Lot","1949","3468","600","195000","3","Yes","2","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","Gilbert","201104245"
"0526150040","3616 GRAND AVE","269900","8/1/2014 12:00:00 AM","Normal","283000","Dwg&Lot","1949","1743","1190","83790","2","Yes","2","Single-family detached (includes detached townhouses)","One story","Gilbert","201407818"
"0526150050","3610 GRAND AVE","73000","1/1/1982 12:00:00 AM","Normal","207200","Dwg&Lot","1940","924","850","43890","2","Yes","2","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level unfinished","Gilbert",""
"0527225025","4003 DAWES DR","0","1/1/1988 12:00:00 AM","No Data","112700","Dwg&Lot","1948","1000","0","10032","3","No","0","Single-family detached (includes detached townhouses)","One story","Gilbert","247-230"
"0527225070","1013 ADAMS ST","145000","9/1/2011 12:00:00 AM","Abnorml","167600","Dwg&Lot","1949","1438","0","87119","2","Yes","2","Single-family detached (includes detached townhouses)","One story","Gilbert","201214759"
"0527226010","3906 DAWES DR","169000","5/1/2006 12:00:00 AM","Normal","182800","Dwg&Lot","1948","2320","0","14762","2","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","606148"
"0527250090","1309 TOP O HOLLOW RD","85000","6/1/2013 12:00:00 AM","Normal","112500","Dwg&Lot","1950","816","417","39847","2","Yes","1","Two-family conversion; originally built as one-family dwelling","One story","Gilbert","201307592"
"0527250100","1319 TOP O HOLLOW RD","48000","1/1/1987 12:00:00 AM","Normal","180400","Dwg&Lot","1949","1148","312","48821","2","Yes","1","Single-family detached (includes detached townhouses)","One story","Gilbert","237-235"
"0527276020","3905 DAWES DR","100000","3/1/2002 12:00:00 AM","Normal","147300","Dwg&Lot","1948","4232","0","33488","2","No","0","Two-family conversion; originally built as one-family dwelling","One story","Gilbert","204183"
"0527276030","3817 DAWES DR","180000","11/1/2005 12:00:00 AM","Normal","202000","Dwg&Lot","1948","1523","1144","23950","2","Yes","1","Single-family detached (includes detached townhouses)","One story","Gilbert","514498"
