"Parcel ID","Address","Sale Price","Sale Date","Sale Condition","Assessed Value","Parcel Type","Year Built","Total Living Area","Finished Bsmt Area","Lot Area","Bedrooms","Central Air","Fireplaces","Occupancy","Style","Neighborhood","INSTRUMENTNUMBER"
"0526301070","3213 JOY CIR","215000","8/1/2013 12:00:00 AM","Normal","242600","Dwg&Lot","1966","1232","896","36502","2","Yes","1","Single-family detached (includes detached townhouses)","One story","N Ames","201310929"
"0526301090","3206 JOY CIR","220000","6/1/2014 12:00:00 AM","Family","221800","Dwg&Lot","1966","1549","933","21997","3","Yes","1","Single-family detached (includes detached townhouses)","One story","N Ames","201404551"
"0526352050","3007 NORTHWOOD DR","0","","Normal","229000","Dwg&Lot","1969","2086","838","10650","3","Yes","0","Single-family detached (includes detached townhouses)","One story","N Ames","201313688"
"0526352060","3009 DUFF AVE","0","","Normal","213900","Dwg&Lot","1968","1874","0","11652","3","Yes","1","Single-family detached (includes detached townhouses)","One story","N Ames","138-526"
"0526352070","3002 KELLOGG AVE","116900","12/1/1994 12:00:00 AM","Normal","173700","Dwg&Lot","1970","1373","1079","11727","4","Yes","2","Single-family detached (includes detached townhouses)","One story","N Ames","9413382"
"0526352090","3010 KELLOGG AVE","203500","4/1/2016 12:00:00 AM","Normal","182200","Dwg&Lot","1970","1277","778","10628","2","Yes","1","Single-family detached (includes detached townhouses)","One story","N Ames","201603109"
"0526353030","3004 NORTHWOOD DR","244000","4/1/2010 12:00:00 AM","Normal","275200","Dwg&Lot","1968","2110","1065","11160","3","Yes","2","Single-family detached (includes detached townhouses)","One story","N Ames","201509628"
"0526353040","2911 DUFF AVE","193500","2/1/2002 12:00:00 AM","Normal","244100","Dwg&Lot","1969","2054","629","13039","2","Yes","1","Single-family detached (includes detached townhouses)","One story","N Ames","203190"
"0526353050","2907 DUFF AVE","237500","5/1/2008 12:00:00 AM","Normal","276300","Dwg&Lot","1970","2117","865","12925","4","Yes","2","Single-family detached (includes detached townhouses)","One story","N Ames","806224"
"0526353060","3013 BRIGGS CIR","0","","Normal","295700","Dwg&Lot","1969","2444","792","27647","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","N Ames","137-577"
"0526353070","3016 BRIGGS CIR","165000","3/1/1997 12:00:00 AM","Abnorml","292600","Dwg&Lot","1968","2105","1463","21557","4","Yes","1","Single-family detached (includes detached townhouses)","Split level","N Ames","201211794"
"0526353080","3012 BRIGGS CIR","280000","10/1/1991 12:00:00 AM","Normal","510700","Dwg&Lot","1968","2765","2147","29144","1","Yes","2","Single-family detached (includes detached townhouses)","One story","N Ames","201601979"
"0526353090","3006 BRIGGS CIR","240000","10/1/2005 12:00:00 AM","Normal","277500","Dwg&Lot","1968","1552","1410","19523","2","Yes","2","Single-family detached (includes detached townhouses)","One story","N Ames","513383"
"0526353100","2821 DUFF AVE","0","","Normal","380900","Dwg&Lot","1969","2193","1451","25964","3","Yes","2","Single-family detached (includes detached townhouses)","One story","N Ames","9916133"
"0526354020","2919 NORTHWOOD DR","192100","3/1/2006 12:00:00 AM","Normal","223900","Dwg&Lot","1969","1851","0","11727","3","Yes","1","Single-family detached (includes detached townhouses)","One story","N Ames","603966"
"0526354030","2913 NORTHWOOD DR","232000","8/1/2014 12:00:00 AM","Normal","209500","Dwg&Lot","1969","1681","0","11075","3","Yes","1","Single-family detached (includes detached townhouses)","One story","N Ames","201511985"
"0526354070","2811 NORTHWOOD DR","206900","6/1/2008 12:00:00 AM","Normal","220100","Dwg&Lot","1969","2112","776","11075","4","Yes","2","Single-family detached (includes detached townhouses)","Two story","N Ames","806924"
"0526355020","2900 DUFF AVE","0","","Normal","279000","Dwg&Lot","1969","1471","1131","17380","1","Yes","2","Single-family detached (includes detached townhouses)","One story","N Ames","710024"
"0526355030","2822 DUFF AVE","164000","1/1/1992 12:00:00 AM","Normal","315300","Dwg&Lot","1970","1857","1256","18430","3","Yes","2","Single-family detached (includes detached townhouses)","One story","N Ames","284-254"
"0526355110","2820 THOMPSON DR","195000","1/1/1983 12:00:00 AM","Normal","452200","Dwg&Lot","1969","3426","1489","24093","3","Yes","2","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","N Ames","201202929"
"0526355120","2819 THOMPSON DR","0","","Normal","370500","Dwg&Lot","1970","2307","644","38692","3","Yes","1","Single-family detached (includes detached townhouses)","One story","N Ames","201401307"
"0526355130","2811 THOMPSON DR","222162","8/1/1998 12:00:00 AM","Partial","310900","Dwg&Lot","1969","1660","1597","21355","3","Yes","1","Single-family detached (includes detached townhouses)","One story","N Ames","9810854"
"0526355150","2804 NORTHWOOD DR","247700","7/1/2015 12:00:00 AM","Normal","234700","Dwg&Lot","1968","1560","1223","21923","3","Yes","0","Single-family detached (includes detached townhouses)","One story","N Ames","201506526"
"0526355180","2902 NORTHWOOD DR","186000","3/1/1995 12:00:00 AM","Normal","284600","Dwg&Lot","1969","1852","1596","19799","3","Yes","2","Single-family detached (includes detached townhouses)","One story","N Ames","9502309"
"0526355190","2910 NORTHWOOD DR","268000","10/1/2007 12:00:00 AM","Normal","312800","Dwg&Lot","1970","2217","1174","15865","3","Yes","1","Single-family detached (includes detached townhouses)","One story","N Ames","712713"
"0526355200","2918 NORTHWOOD DR","195000","11/1/2001 12:00:00 AM","Normal","267700","Dwg&Lot","1968","1738","940","14300","3","Yes","2","Single-family detached (includes detached townhouses)","One story","N Ames","115904"
"0527150020","1925 BLOOMINGTON RD","140000","8/1/1995 12:00:00 AM","Normal","215600","Dwg&Lot","1969","1521","790","27387","2","Yes","1","Single-family detached (includes detached townhouses)","One story","Gilbert","9507500"
"0527226040","4014 DAWES DR","155000","11/1/2007 12:00:00 AM","Normal","132000","Dwg&Lot","1969","1142","1050","41600","2","Yes","0","Single-family detached (includes detached townhouses)","One story","Gilbert","201611201"
"0527226060","4100 DAWES DR","54600","1/1/1986 12:00:00 AM","Normal","163700","Dwg&Lot","1970","1152","816","25265","3","No","1","Two-family conversion; originally built as one-family dwelling","One story","Gilbert","231-252"
"0527250110","1403 TOP O HOLLOW RD","0","","Normal","210000","Dwg&Lot","1967","1464","1435","34650","2","No","0","Two-family conversion; originally built as one-family dwelling","One story","Gilbert","256-70"
"0527276180","3718 CALHOUN AVE","0","","Normal","177700","Dwg&Lot","1968","1680","756","26600","3","Yes","1","Single-family detached (includes detached townhouses)","One story","Gilbert","704688"
"0527276190","3724 CALHOUN AVE","155850","7/1/2001 12:00:00 AM","Normal","196100","Dwg&Lot","1968","1420","1252","24000","3","Yes","1","Single-family detached (includes detached townhouses)","One story","Gilbert","201611522"
"0527356050","2917 EISENHOWER AVE","152000","4/1/2007 12:00:00 AM","Normal","161600","Dwg&Lot","1969","1620","780","10793","4","Yes","0","Single-family detached (includes detached townhouses)","Two story","NW Ames","703409"
"0527356080","2827 EISENHOWER AVE","127500","5/1/2000 12:00:00 AM","Normal","143200","Dwg&Lot","1969","1014","1014","10125","3","Yes","0","Single-family detached (includes detached townhouses)","One story","NW Ames","6088"
"0527356090","2821 EISENHOWER AVE","0","","Normal","160000","Dwg&Lot","1969","1328","1005","11475","4","Yes","0","Single-family detached (includes detached townhouses)","One story","NW Ames","255-256"
"0527356100","2813 EISENHOWER AVE","158250","5/1/2004 12:00:00 AM","Normal","155100","Dwg&Lot","1968","1066","818","10665","3","Yes","0","Single-family detached (includes detached townhouses)","Split foyer","NW Ames","406180"
