"Parcel ID","Address","Sale Price","Sale Date","Sale Condition","Assessed Value","Parcel Type","Year Built","Total Living Area","Finished Bsmt Area","Lot Area","Bedrooms","Central Air","Fireplaces","Occupancy","Style","Neighborhood","INSTRUMENTNUMBER"
"0526355060","2810 DUFF AVE","450000","1/1/2005 12:00:00 AM","Family","558500","Dwg&Lot","1977","4274","2090","23766","3","Yes","3","Single-family detached (includes detached townhouses)","Two story","N Ames","501819"
"0527275050","3805 CALHOUN AVE","189500","3/1/2015 12:00:00 AM","Normal","156700","Dwg&Lot","1980","1280","967","12060","3","Yes","1","Single-family detached (includes detached townhouses)","One story","Gilbert","201502163"
"0527275110","1005 TOP O HOLLOW RD","0","","No Data","224600","Dwg&Lot","1978","1792","1692","25918","3","Yes","0","Single-family detached (includes detached townhouses)","One story","Gilbert","201312064"
"0527276160","3616 CALHOUN AVE","185000","7/1/2009 12:00:00 AM","Normal","202900","Dwg&Lot","1977","1934","400","11900","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","909090"
"0527276200","3802 CALHOUN AVE","167500","4/1/2001 12:00:00 AM","Family","226300","Dwg&Lot","1977","2106","0","18180","3","Yes","1","Single-family detached (includes detached townhouses)","One story","Gilbert","104093"
"0527276210","3816 CALHOUN AVE","218000","6/1/2016 12:00:00 AM","Normal","254300","Dwg&Lot","1978","1860","1774","28850","2","Yes","2","Single-family detached (includes detached townhouses)","One story","Gilbert","201606362"
"0527301310","2102 BUCHANAN DR","185500","6/1/2013 12:00:00 AM","Normal","208300","Dwg&Lot","1980","1455","890","13226","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","201307551"
"0527301320","3217 EISENHOWER AVE","282000","7/1/2013 12:00:00 AM","Normal","271400","Dwg&Lot","1980","2353","692","13005","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NW Ames","201309001"
"0527301330","3211 EISENHOWER AVE","182400","6/1/2001 12:00:00 AM","Normal","199500","Dwg&Lot","1978","1343","1117","13266","3","Yes","1","Single-family detached (includes detached townhouses)","Split foyer","NW Ames","107983"
"0527302090","2009 BUCHANAN DR","213000","9/1/2007 12:00:00 AM","Normal","239400","Dwg&Lot","1978","1664","1328","12299","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","714407"
"0527302100","2003 BUCHANAN DR","0","","Normal","210600","Dwg&Lot","1978","1700","1007","13755","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","201-322"
"0527302110","3309 CLINTON CT","210000","2/1/2010 12:00:00 AM","Normal","237800","Dwg&Lot","1978","2073","953","13175","3","Yes","2","Single-family detached (includes detached townhouses)","One story","NW Ames","201600852"
"0527302130","3405 CLINTON CT","0","","Normal","217500","Dwg&Lot","1978","1955","0","13175","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","179-306"
"0527302140","3411 CLINTON CT","140600","5/1/1996 12:00:00 AM","Normal","199100","Dwg&Lot","1978","1358","917","12797","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","402206"
"0527302150","3417 CLINTON CT","175000","6/1/1996 12:00:00 AM","Normal","236800","Dwg&Lot","1979","1702","1606","15465","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","9607594"
"0527302160","3423 CLINTON CT","164610","4/1/2001 12:00:00 AM","Family","212900","Dwg&Lot","1978","1974","750","16578","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NW Ames","706482"
"0527302175","3422 CLINTON CT","181000","1/1/2009 12:00:00 AM","Normal","189400","Dwg&Lot","1979","1586","0","17043","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","900210"
"0527302185","3416 CLINTON CT","235000","8/1/2008 12:00:00 AM","Normal","264100","Dwg&Lot","1978","2064","1392","18559","3","Yes","2","Single-family detached (includes detached townhouses)","One story","NW Ames","809706"
"0527302190","3410 CLINTON CT","176000","7/1/1998 12:00:00 AM","Normal","219900","Dwg&Lot","1979","1581","1559","14090","3","Yes","1","Single-family detached (includes detached townhouses)","Split level","NW Ames","9810560"
"0527302200","3404 CLINTON CT","183000","8/1/2003 12:00:00 AM","Normal","253100","Dwg&Lot","1978","2256","590","14450","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NW Ames","317300"
"0527302210","3314 CLINTON CT","220000","3/1/2008 12:00:00 AM","Normal","231600","Dwg&Lot","1979","1782","1313","14450","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","802928"
"0527302220","3308 CLINTON CT","120000","1/1/2001 12:00:00 AM","Family","165400","Dwg&Lot","1978","1220","78","14450","3","Yes","0","Single-family detached (includes detached townhouses)","One story","NW Ames","100086"
"0527302230","1929 BUCHANAN DR","193000","8/1/2012 12:00:00 AM","Normal","219000","Dwg&Lot","1978","1970","0","12457","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NW Ames","201311393"
"0527302240","1923 BUCHANAN DR","0","","Normal","185500","Dwg&Lot","1978","1534","0","10390","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","261-270"
"0527302250","1911 BUCHANAN DR","145000","5/1/2003 12:00:00 AM","Normal","163800","Dwg&Lot","1978","1245","14","11657","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","311076"
"0527302260","1903 BUCHANAN DR","144000","5/1/1994 12:00:00 AM","Normal","205400","Dwg&Lot","1977","1295","750","13731","3","Yes","1","Single-family detached (includes detached townhouses)","Split level","NW Ames","9406065"
"0527302270","3407 TAFT AVE","0","","Normal","195600","Dwg&Lot","1978","1587","396","14758","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","175-158"
"0527302280","3413 TAFT AVE","137000","6/1/1990 12:00:00 AM","Normal","239500","Dwg&Lot","1977","1724","1228","12740","3","Yes","2","Single-family detached (includes detached townhouses)","One story","NW Ames","267-131"
"0527302290","3419 TAFT AVE","198000","3/1/2005 12:00:00 AM","Normal","214600","Dwg&Lot","1978","1620","897","12740","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","503128"
"0527302300","3425 TAFT AVE","179000","1/1/2012 12:00:00 AM","Normal","233600","Dwg&Lot","1976","1752","763","12740","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","201201198"
"0527302310","3431 TAFT AVE","173500","4/1/1995 12:00:00 AM","Normal","246600","Dwg&Lot","1978","1654","1199","13140","3","Yes","2","Single-family detached (includes detached townhouses)","One story","NW Ames","9503223"
"0527325010","1932 BUCHANAN DR","317500","7/1/2013 12:00:00 AM","Normal","355700","Dwg&Lot","1980","3161","1491","17037","4","Yes","2","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","NW Ames","201309189"
"0527325020","1926 BUCHANAN DR","197900","8/1/2003 12:00:00 AM","Normal","228800","Dwg&Lot","1978","2195","0","19603","3","Yes","1","Single-family detached (includes detached townhouses)","Split level","NW Ames","318590"
"0527325030","3315 TAFT CT","192000","10/1/2004 12:00:00 AM","Normal","224000","Dwg&Lot","1977","1528","1310","11541","3","Yes","2","Single-family detached (includes detached townhouses)","Split level","NW Ames","414809"
"0527325040","3305 TAFT CT","257400","6/1/2014 12:00:00 AM","Normal","236000","Dwg&Lot","1977","2019","1567","14596","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","201405115"
"0527325050","3302 TAFT CT","293000","9/1/2015 12:00:00 AM","Normal","224200","Dwg&Lot","1977","2306","705","14646","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NW Ames","201509108"
"0527325060","3306 TAFT CT","232500","5/1/2000 12:00:00 AM","Normal","319000","Dwg&Lot","1978","2867","0","17928","4","Yes","1","Single-family detached (includes detached townhouses)","Split level","NW Ames","5260"
"0527325070","1904 BUCHANAN DR","272000","7/1/2008 12:00:00 AM","Normal","302400","Dwg&Lot","1977","2872","896","12227","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NW Ames","807894"
"0527325080","1820 BUCHANAN DR","165000","6/1/2003 12:00:00 AM","Normal","181300","Dwg&Lot","1977","1406","47","12393","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","312962"
"0527325090","1814 BUCHANAN DR","213000","7/1/2010 12:00:00 AM","Normal","260500","Dwg&Lot","1979","1978","736","11339","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NW Ames","201006842"
"0527325100","1808 BUCHANAN DR","0","","Normal","192100","Dwg&Lot","1977","1288","652","12290","3","Yes","1","Single-family detached (includes detached townhouses)","Split level","NW Ames","201602743"
"0527325110","1802 BUCHANAN DR","246000","6/1/2016 12:00:00 AM","Abnorml","223200","Dwg&Lot","1977","1969","0","11952","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NW Ames","201605854"
"0527325130","1722 BUCHANAN DR","245000","7/1/1999 12:00:00 AM","Normal","304000","Dwg&Lot","1977","3242","378","11833","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NW Ames","2997"
"0527325140","1710 BUCHANAN DR","216400","5/1/2012 12:00:00 AM","Normal","248000","Dwg&Lot","1977","2266","569","11122","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NW Ames","201205158"
"0527325150","1702 BUCHANAN DR","257500","6/1/2002 12:00:00 AM","Normal","342100","Dwg&Lot","1977","3084","1026","12451","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NW Ames","209069"
