"Parcel ID","Address","Sale Price","Sale Date","Sale Condition","Assessed Value","Parcel Type","Year Built","Total Living Area","Finished Bsmt Area","Lot Area","Bedrooms","Central Air","Fireplaces","Occupancy","Style","Neighborhood","INSTRUMENTNUMBER"
"0535353160","1320 GRAND AVE","100000","4/1/2015 12:00:00 AM","Normal","129800","Dwg&Lot","1890","1544","0","14190","3","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","201503145"
"0535354150","505 13TH ST","40000","4/1/2011 12:00:00 AM","Normal","60900","Dwg&Lot","1890","634","160","6440","1","No","0","Single-family detached (includes detached townhouses)","One story","OldTown","201212475"
"0535379040","1417 DOUGLAS AVE","0","","Normal","113200","Dwg&Lot","1890","1566","0","10800","4","No","0","Single-family detached (includes detached townhouses)","Two story","OldTown","213-178"
"0535379050","1411 DOUGLAS AVE","71500","7/1/2004 12:00:00 AM","Abnorml","96200","Dwg&Lot","1890","1155","0","10800","3","Yes","0","Single-family detached (includes detached townhouses)","Two story","OldTown","410478"
"0535380040","1421 DUFF AVE","40500","1/1/1990 12:00:00 AM","Normal","86800","Dwg&Lot","1890","1059","0","10927","3","No","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","N Ames","201400802"
"0535382140","1322 KELLOGG AVE","99900","4/1/2001 12:00:00 AM","Normal","119200","Dwg&Lot","1890","1032","0","10800","2","Yes","0","Single-family detached (includes detached townhouses)","Two story","OldTown","105615"
"0535383120","1326 DOUGLAS AVE","78500","11/1/2009 12:00:00 AM","Normal","84200","Dwg&Lot","1890","725","0","10800","1","Yes","0","Single-family detached (includes detached townhouses)","One story","OldTown","201007832"
"0531478030","1401 FLORIDA AVE","52020","9/1/2004 12:00:00 AM","Normal","56400","Dwg&Lot","1890","908","0","6600","2","No","0","Single-family detached (includes detached townhouses)","One story","SawyerW","201402644"
"0903429030","715 GRAND AVE","97000","10/1/1999 12:00:00 AM","Normal","132400","Dwg&Lot","1890","1783","338","10472","3","Yes","0","Single-family detached (includes detached townhouses)","Two story","OldTown","201208764"
"0903429050","703 GRAND AVE","0","","Abnorml","156000","Dwg&Lot","1890","2284","838","12975","5","No","0","Four-family conversion; originally built as one-family dwelling","Two and one-half story:  3rd level unfinished","OldTown","201211187"
"0903455080","209 N MAPLE AVE","134900","2/1/2016 12:00:00 AM","Normal","122900","Dwg&Lot","1890","1316","0","6240","3","Yes","0","Single-family detached (includes detached townhouses)","Two story","IDOT&RR","201601317"
"0911103090","325 S WALNUT AVE","1440","11/1/1996 12:00:00 AM","Abnorml","145200","Dwg&Lot","1890","1965","0","7200","5","Yes","0","Single-family detached (includes detached townhouses)","Two story","IDOT&RR","201201074"
"0911128100","227 S KELLOGG AVE 229","38000","5/1/1994 12:00:00 AM","Abnorml","101200","Dwg&Lot","1890","1748","0","9663","5","No","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","IDOT&RR","9405611"
"0905426180","3421 WOODLAND ST","104000","8/1/1999 12:00:00 AM","Normal","169200","Dwg&Lot","1890","1854","0","9723","4","Yes","1","Two-family conversion; originally built as one-family dwelling","Two story","Edwards","9911379"
