"Parcel ID","Address","Sale Price","Sale Date","Sale Condition","Assessed Value","Parcel Type","Year Built","Total Living Area","Finished Bsmt Area","Lot Area","Bedrooms","Central Air","Fireplaces","Occupancy","Style","Neighborhood","INSTRUMENTNUMBER"
"0527302050","3318 EISENHOWER AVE","175500","6/1/2008 12:00:00 AM","Normal","202500","Dwg&Lot","1981","1422","816","12090","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","812968"
"0527302060","3312 EISENHOWER AVE","176000","3/1/2012 12:00:00 AM","Normal","208000","Dwg&Lot","1981","1479","321","12090","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NW Ames","201202351"
"0527352040","2117 POLK DR","0","","Normal","241300","Dwg&Lot","1981","2313","927","10965","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NW Ames","266-177"
"0527355150","1910 STEVENSON DR","310000","9/1/2015 12:00:00 AM","Normal","338600","Dwg&Lot","1981","2524","1104","9600","4","Yes","1","Single-family detached (includes detached townhouses)","One story","NW Ames","201508822"
"0527355160","1906 STEVENSON DR","185000","1/1/1990 12:00:00 AM","Normal","374500","Dwg&Lot","1981","3613","1225","9722","4","Yes","2","Single-family detached (includes detached townhouses)","Two story","NW Ames","201508755"
"0531452030","1312 INDIANA AVE","88500","3/1/1993 12:00:00 AM","Normal","144400","Dwg&Lot","1981","1055","678","7892","2","Yes","1","Townhouse:  end unit","One story","SawyerW","295-227"
"0531452040","1316 INDIANA AVE","127700","6/1/2012 12:00:00 AM","Normal","164900","Dwg&Lot","1981","926","826","7892","2","Yes","1","Townhouse:  end unit","One story","SawyerW","201206566"
"0531475220","1404 IDAHO AVE","123500","9/1/2014 12:00:00 AM","Family","157000","Dwg&Lot","1981","1882","0","8250","4","Yes","2","Duplex","Two story","SawyerW","201408774"
"0905351025","4201 WESTBROOK DR","125000","4/1/2016 12:00:00 AM","Normal","184800","Dwg&Lot","1981","1934","650","3400","2","Yes","0","Townhouse:  end unit","One and one-half story:  2nd level finished","ClearCr","201603985"
"0905351035","4203 WESTBROOK DR","125500","2/1/2013 12:00:00 AM","Normal","154900","Dwg&Lot","1981","1804","276","1700","3","Yes","1","Townhouse:  inner unit","One and one-half story:  2nd level finished","ClearCr","201302966"
"0905375010","407 HICKORY DR","0","","Normal","679300","Dwg&Lot","1981","4016","2026","95325","4","Yes","3","Single-family detached (includes detached townhouses)","Two story","ClearCr",""
"0914476190","3105 DIAMOND ST 3107","147500","11/1/2012 12:00:00 AM","Normal","144700","Dwg&Lot","1981","980","912","13991","2","Yes","0","Duplex","Split foyer","Mitchel","201213620"
