"Parcel ID","Address","Sale Price","Sale Date","Sale Condition","Assessed Value","Parcel Type","Year Built","Total Living Area","Finished Bsmt Area","Lot Area","Bedrooms","Central Air","Fireplaces","Occupancy","Style","Neighborhood","INSTRUMENTNUMBER"
"0522100315","5440 GRANT AVE","295500","7/1/2015 12:00:00 AM","AdjLand","195500","Dwg&Lot","1920","1152","549","0","2","Yes","1","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","Gilbert","201506637"
"0531476100","1512 FLORIDA AVE","89000","10/1/2000 12:00:00 AM","Normal","111400","Dwg&Lot","1920","839","0","8580","2","Yes","1","Single-family detached (includes detached townhouses)","One story","SawyerW","11872"
"0531477050","1501 NORTH DAKOTA AVE","67500","4/1/2010 12:00:00 AM","Normal","84900","Dwg&Lot","1920","1012","0","10590","2","No","0","Single-family detached (includes detached townhouses)","One story","SawyerW","1003470"
"0531479020","1405 DELAWARE AVE","95000","7/1/2016 12:00:00 AM","Normal","82200","Dwg&Lot","1928","784","0","9000","2","No","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level unfinished","SawyerW","201606702"
"0533352035","2805 ONTARIO ST","108000","8/1/2001 12:00:00 AM","Normal","161400","Dwg&Lot","1925","1018","0","63016","2","Yes","1","Single-family detached (includes detached townhouses)","One story","Sawyer","201215765"
"0534431110","713 16TH ST","137500","9/1/2014 12:00:00 AM","Normal","149300","Dwg&Lot","1929","1352","560","9749","3","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","N Ames","201408194"
"0534450030","1525 RIDGEWOOD AVE","45000","1/1/1985 12:00:00 AM","Normal","122400","Dwg&Lot","1923","1312","616","10000","3","Yes","0","Single-family detached (includes detached townhouses)","One story","BrkSide","110403"
"0534450050","1517 SUMMIT AVE","68000","8/1/2000 12:00:00 AM","Abnorml","91700","Dwg&Lot","1920","1009","0","7500","2","No","0","Single-family detached (includes detached townhouses)","One story","BrkSide","201403075"
"0534450170","1415 SUMMIT AVE","62100","2/1/1998 12:00:00 AM","Abnorml","117200","Dwg&Lot","1920","1256","735","6487","4","No","0","Two-family conversion; originally built as one-family dwelling","One and one-half story:  2nd level finished","BrkSide","9803105"
"0534451120","1410 SUMMIT AVE","85500","8/1/2006 12:00:00 AM","Normal","93000","Dwg&Lot","1923","869","0","5900","2","Yes","0","Single-family detached (includes detached townhouses)","One story","BrkSide","610186"
"0534451130","1414 SUMMIT AVE","79900","6/1/2006 12:00:00 AM","Normal","92300","Dwg&Lot","1926","747","0","5825","1","Yes","0","Single-family detached (includes detached townhouses)","One story","BrkSide","607321"
"0534453060","1444 RIDGEWOOD AVE","41500","9/1/1998 12:00:00 AM","Normal","72600","Dwg&Lot","1925","592","170","4637","1","No","0","Single-family detached (includes detached townhouses)","One story","BrkSide","9813683"
"0534479030","1517 GRAND AVE","123750","5/1/1999 12:00:00 AM","Normal","151200","Dwg&Lot","1923","1416","0","13860","3","Yes","1","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","N Ames","9906341"
"0535150070","2202 GRAND AVE","163000","5/1/2016 12:00:00 AM","Normal","143300","Dwg&Lot","1920","1738","0","12513","4","Yes","1","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","N Ames","201605022"
"0535305050","1711 BURNETT AVE","0","","Normal","158000","Dwg&Lot","1925","1012","464","14144","2","Yes","1","Single-family detached (includes detached townhouses)","One story","N Ames","167-360"
"0535305090","1605 BURNETT AVE","0","1/1/1989 12:00:00 AM","Normal","182600","Dwg&Lot","1926","1540","504","19080","4","Yes","1","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","N Ames","257-160"
"0535325400","1606 BURNETT AVE","112500","2/1/2016 12:00:00 AM","Family","147700","Dwg&Lot","1920","1561","0","7898","2","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level unfinished","N Ames","201601253"
"0535352060","1505 BURNETT AVE","95000","8/1/2012 12:00:00 AM","Normal","108300","Dwg&Lot","1923","843","0","11820","2","No","0","Single-family detached (includes detached townhouses)","One story","N Ames","201209075"
"0535353180","1330 GRAND AVE","180000","7/1/2006 12:00:00 AM","Normal","214400","Dwg&Lot","1925","2640","0","22136","4","Yes","1","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","610016"
"0535354140","503 13TH ST","117300","1/1/2016 12:00:00 AM","Normal","113300","Dwg&Lot","1928","829","829","8260","2","Yes","1","Single-family detached (includes detached townhouses)","One story","OldTown","201601146"
"0535354180","521 13TH ST","98000","8/1/2004 12:00:00 AM","Normal","111300","Dwg&Lot","1924","936","0","12138","2","Yes","1","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","N Ames","411134"
"0535355100","427 13TH ST","112000","5/1/2006 12:00:00 AM","Normal","123800","Dwg&Lot","1924","1310","617","7000","2","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","605102"
"0535375030","1527 KELLOGG AVE","28500","1/1/1976 12:00:00 AM","Normal","109500","Dwg&Lot","1920","1306","0","6146","4","No","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","159-207"
"0535375060","1507 KELLOGG AVE","0","","Normal","113500","Dwg&Lot","1920","1280","380","10410","3","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","171-144"
"0535375080","1501 KELLOGG AVE","61000","3/1/2013 12:00:00 AM","Normal","97500","Dwg&Lot","1920","1140","0","5370","3","Yes","0","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","201302511"
