"Parcel ID","Address","Sale Price","Sale Date","Sale Condition","Assessed Value","Parcel Type","Year Built","Total Living Area","Finished Bsmt Area","Lot Area","Bedrooms","Central Air","Fireplaces","Occupancy","Style","Neighborhood","INSTRUMENTNUMBER"
"0527105120","3918 HYDE AVE","188990","7/1/2004 12:00:00 AM","Partial","270100","Dwg&Lot","2004","1458","1126","11693","3","Yes","1","Single-family detached (includes detached townhouses)","One story","Gilbert","410337"
"0527127030","1829 WATERBURY CIR","350000","7/1/2013 12:00:00 AM","Normal","371000","Dwg&Lot","2004","2134","1546","5638","2","Yes","1","Townhouse:  end unit","One story","Stonebr","201309337"
"0527127040","1825 WATERBURY CIR","37500","10/1/2000 12:00:00 AM","Normal","277300","Dwg&Lot","2004","1514","1220","5638","2","Yes","1","Townhouse:  end unit","One story","Stonebr","13270"
"0527127090","1805 WATERBURY CIR","45000","1/1/2005 12:00:00 AM","Normal","463000","Dwg&Lot","2004","2504","1762","9304","1","Yes","3","Townhouse:  end unit","One story","Stonebr","907041"
"0527127100","1801 WATERBURY CIR","375000","11/1/2009 12:00:00 AM","Normal","451000","Dwg&Lot","2004","2522","1965","7296","1","Yes","1","Townhouse:  end unit","One story","Stonebr","913755"
"0527208040","1426 EDGEWATER CT","423400","10/1/2004 12:00:00 AM","Partial","497400","Dwg&Lot","2004","2084","1443","18654","2","Yes","1","Single-family detached (includes detached townhouses)","One story","Stonebr","414899"
"0527208090","1401 EDGEWATER CT","528044","12/1/2004 12:00:00 AM","Partial","740900","Dwg&Lot","2004","3166","1328","16471","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","416666"
"0527210010","1404 PANORAMIC CT","329256","12/1/2004 12:00:00 AM","Partial","348100","Dwg&Lot","2004","2366","0","15499","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","500279"
"0527210020","1410 PANORAMIC CT","288003","12/1/2004 12:00:00 AM","Partial","327300","Dwg&Lot","2004","2383","78","21381","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","500481"
"0527214010","4001 FRANCES E DAVIS CT","287990","12/1/2004 12:00:00 AM","Partial","331300","Dwg&Lot","2004","2342","0","16055","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","500284"
"0527214030","4013 FRANCES E DAVIS CT","387000","9/1/2008 12:00:00 AM","Normal","430600","Dwg&Lot","2004","1884","1337","15401","2","Yes","1","Single-family detached (includes detached townhouses)","One story","Stonebr","201603855"
"0527214070","4002 FRANCES E DAVIS CT","320990","7/1/2005 12:00:00 AM","Partial","389300","Dwg&Lot","2004","2468","654","16625","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","508935"
"0527216110","4102 LAURA CT","580000","9/1/2014 12:00:00 AM","Normal","643800","Dwg&Lot","2004","3163","1070","12751","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","201408947"
"0527216150","4002 LAURA CT","293964","5/1/2005 12:00:00 AM","Partial","347100","Dwg&Lot","2004","2351","770","18292","4","Yes","2","Single-family detached (includes detached townhouses)","Two story","Stonebr","504846"
"0527252030","3919 HOOVER AVE","335000","7/1/2013 12:00:00 AM","Normal","364300","Dwg&Lot","2004","1706","1101","10146","2","Yes","1","Townhouse:  end unit","One story","Stonebr","201309028"
"0527252040","3913 HOOVER AVE","375000","6/1/2016 12:00:00 AM","Family","402900","Dwg&Lot","2004","2068","1440","8334","2","Yes","3","Townhouse:  end unit","One story","Stonebr","201605641"
"0527254030","1208 ADAMS ST","255600","5/1/2005 12:00:00 AM","Partial","345700","Dwg&Lot","2004","1682","1108","13316","3","Yes","1","Single-family detached (includes detached townhouses)","One story","Stonebr","507330"
"0527256060","1205 KINYON CIR","441500","9/1/2012 12:00:00 AM","Normal","491900","Dwg&Lot","2004","2323","1324","13303","3","Yes","2","Single-family detached (includes detached townhouses)","One story","Stonebr","201211760"
"0527256070","1131 KINYON CIR","55000","10/1/2004 12:00:00 AM","Normal","437100","Dwg&Lot","2004","2002","1070","12549","1","Yes","1","Single-family detached (includes detached townhouses)","One story","Stonebr","511217"
"0527256080","1125 KINYON CIR","58000","8/1/2004 12:00:00 AM","Normal","598900","Dwg&Lot","2004","2250","1992","25542","1","Yes","2","Single-family detached (includes detached townhouses)","One story","Stonebr","511217"
"0527256110","1202 KINYON CIR","65000","2/1/2005 12:00:00 AM","Normal","580000","Dwg&Lot","2004","3074","1514","17257","3","Yes","2","Single-family detached (includes detached townhouses)","Two story","Stonebr","511217"
"0527256130","1300 KINYON CIR","61000","4/1/2005 12:00:00 AM","Abnorml","682100","Dwg&Lot","2004","2597","2073","19006","2","Yes","3","Single-family detached (includes detached townhouses)","One story","Stonebr","511217"
