"Parcel ID","Address","Sale Price","Sale Date","Sale Condition","Assessed Value","Parcel Type","Year Built","Total Living Area","Finished Bsmt Area","Lot Area","Bedrooms","Central Air","Fireplaces","Occupancy","Style","Neighborhood","INSTRUMENTNUMBER"
"0527102010","4220 EISENHOWER CT","248000","7/1/2015 12:00:00 AM","Normal","205600","Dwg&Lot","1996","1305","620","2812","2","Yes","0","Townhouse:  end unit","One story","Gilbert","201507511"
"0527102020","4222 EISENHOWER CT","153300","7/1/1999 12:00:00 AM","Normal","208700","Dwg&Lot","1996","1304","685","2812","2","Yes","0","Townhouse:  end unit","One story","Gilbert","9910258"
"0527102030","4224 EISENHOWER CT","140900","3/1/1997 12:00:00 AM","Partial","204900","Dwg&Lot","1996","1304","572","2812","2","Yes","0","Townhouse:  end unit","One story","Gilbert","201102048"
"0527102040","4226 EISENHOWER CT","128900","3/1/1997 12:00:00 AM","Partial","211100","Dwg&Lot","1996","1305","756","2812","2","Yes","0","Townhouse:  end unit","One story","Gilbert","201401387"
"0527102170","4229 EISENHOWER CT","128000","9/1/1999 12:00:00 AM","Normal","175300","Dwg&Lot","1996","1304","0","2812","2","Yes","0","Townhouse:  end unit","One story","Gilbert","9913212"
"0527102180","4227 EISENHOWER CT","124300","3/1/1997 12:00:00 AM","Partial","174900","Dwg&Lot","1996","1305","0","2812","2","Yes","0","Townhouse:  end unit","One story","Gilbert","9703580"
"0527104000","4140 EISENHOWER LN UNIT 1","115000","7/1/2004 12:00:00 AM","Normal","119300","Dwg&Lot","1996","1258","0","4693","2","Yes","0","Condominium unit","Two story","Blmngtn","412649"
"0527104010","4140 EISENHOWER LN UNIT 2","105000","7/1/2004 12:00:00 AM","Normal","108800","Dwg&Lot","1996","1214","0","4693","2","Yes","0","Condominium unit","Two story","Blmngtn","409107"
"0527104020","4140 EISENHOWER LN UNIT 3","105000","9/1/2012 12:00:00 AM","Normal","108800","Dwg&Lot","1996","1214","0","4693","2","Yes","0","Condominium unit","Two story","Blmngtn","201211651"
"0527104030","4140 EISENHOWER LN UNIT 4","136500","7/1/2015 12:00:00 AM","Normal","121700","Dwg&Lot","1996","1258","0","4693","2","Yes","1","Condominium unit","Two story","Blmngtn","201506425"
"0527104040","4140 EISENHOWER LN UNIT 5","107250","9/1/2000 12:00:00 AM","Normal","121700","Dwg&Lot","1996","1258","0","4693","2","Yes","1","Condominium unit","Two story","Blmngtn","10878"
"0527104050","4140 EISENHOWER LN UNIT 6","135000","8/1/2015 12:00:00 AM","Normal","108800","Dwg&Lot","1996","1214","0","4693","2","Yes","0","Condominium unit","Two story","Blmngtn","201507981"
"0527104060","4140 EISENHOWER LN UNIT 7","67000","8/1/2013 12:00:00 AM","Family","108900","Dwg&Lot","1996","1214","0","4693","2","Yes","0","Condominium unit","Two story","Blmngtn","201310312"
"0527104070","4140 EISENHOWER LN UNIT 8","145000","7/1/2016 12:00:00 AM","Normal","119300","Dwg&Lot","1996","1258","0","4693","2","Yes","0","Condominium unit","Two story","Blmngtn","201607114"
"0527106050","4009 EISENHOWER AVE","192000","2/1/2016 12:00:00 AM","Normal","189200","Dwg&Lot","1995","1470","476","8139","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","201601583"
"0527106060","4001 EISENHOWER AVE","206000","7/1/2016 12:00:00 AM","Normal","192600","Dwg&Lot","1995","1636","0","8992","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","201606618"
"0527106070","3915 EISENHOWER AVE","127900","8/1/1997 12:00:00 AM","Normal","199800","Dwg&Lot","1995","1508","0","10594","4","Yes","1","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","Gilbert","201611060"
"0527106080","2101 STONE BROOKE RD","135990","8/1/1995 12:00:00 AM","Partial","211000","Dwg&Lot","1995","1769","0","13205","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","9506721"
"0527106090","2107 STONE BROOKE RD","196500","11/1/2005 12:00:00 AM","Normal","219200","Dwg&Lot","1995","1811","723","9714","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","514201"
"0527107010","3902 EISENHOWER AVE","192000","5/1/2013 12:00:00 AM","Normal","206700","Dwg&Lot","1996","1636","138","15038","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","201306035"
"0527107020","3908 EISENHOWER AVE","170000","2/1/2006 12:00:00 AM","Normal","220700","Dwg&Lot","1995","1671","610","13041","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","602249"
"0527107030","3914 EISENHOWER AVE","187500","7/1/2006 12:00:00 AM","Normal","202900","Dwg&Lot","1995","1498","592","13031","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","608868"
"0527107040","1910 WYNGATE DR","168000","5/1/2007 12:00:00 AM","Normal","193500","Dwg&Lot","1995","1572","0","10364","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","705569"
"0527107050","1916 WYNGATE DR","124400","4/1/1996 12:00:00 AM","Normal","176600","Dwg&Lot","1994","1455","0","9392","3","Yes","0","Single-family detached (includes detached townhouses)","Two story","Gilbert","9604920"
"0527107060","1922 WYNGATE DR","205000","4/1/2015 12:00:00 AM","Normal","186600","Dwg&Lot","1994","1494","315","8466","4","Yes","1","Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","Gilbert","201504013"
"0527107070","1928 WYNGATE DR","122900","7/1/1995 12:00:00 AM","Partial","217200","Dwg&Lot","1994","1930","372","7960","3","Yes","0","Single-family detached (includes detached townhouses)","Two story","Gilbert","9506935"
"0527107080","1932 WYNGATE DR","138500","5/1/1997 12:00:00 AM","Partial","231800","Dwg&Lot","1996","1848","523","8047","3","Yes","0","Single-family detached (includes detached townhouses)","Two story","Gilbert","9705315"
"0527107090","1936 WYNGATE DR","177900","11/1/2008 12:00:00 AM","Normal","191600","Dwg&Lot","1996","1384","0","14137","3","Yes","0","Single-family detached (includes detached townhouses)","One story","Gilbert","812139"
"0527107110","1944 WYNGATE DR","149900","10/1/1996 12:00:00 AM","Partial","212900","Dwg&Lot","1996","1680","0","12456","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","9612777"
"0527107120","1948 WYNGATE DR","246500","3/1/2016 12:00:00 AM","Normal","233800","Dwg&Lot","1996","1776","721","9783","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","201602230"
"0527107130","1952 WYNGATE DR","215000","4/1/2014 12:00:00 AM","Normal","203800","Dwg&Lot","1996","1628","284","8400","3","Yes","1","Single-family detached (includes detached townhouses)","Split level","Gilbert","201403166"
"0527107140","1956 WYNGATE DR","258000","6/1/2016 12:00:00 AM","Normal","200000","Dwg&Lot","1996","1752","0","9174","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","201605566"
"0527107180","2011 WYNGATE DR","158000","4/1/2002 12:00:00 AM","Normal","210600","Dwg&Lot","1996","1171","655","12457","2","Yes","0","Single-family detached (includes detached townhouses)","One story","Gilbert","201012914"
"0527107210","2023 WYNGATE DR","205000","5/1/2013 12:00:00 AM","Normal","223600","Dwg&Lot","1996","1446","604","21872","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","201307043"
"0527110010","1903 WYNGATE DR","199000","6/1/2013 12:00:00 AM","Normal","218800","Dwg&Lot","1995","1706","330","11227","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","201307780"
"0527110020","1909 WYNGATE DR","168500","5/1/2009 12:00:00 AM","Normal","183300","Dwg&Lot","1995","1474","0","8530","3","Yes","1","Single-family detached (includes detached townhouses)","Split level","Gilbert","906275"
