"Parcel ID","Address","Sale Price","Sale Date","Sale Condition","Assessed Value","Parcel Type","Year Built","Total Living Area","Finished Bsmt Area","Lot Area","Bedrooms","Central Air","Fireplaces","Occupancy","Style","Neighborhood","INSTRUMENTNUMBER"
"0527108020","4317 HARRISON CIR","300000","6/1/2013 12:00:00 AM","Normal","337000","Dwg&Lot","2006","1651","1300","14859","3","Yes","1","Single-family detached (includes detached townhouses)","One story","Gilbert","201306570"
"0527108070","4302 HARRISON CIR","377500","10/1/2009 12:00:00 AM","Normal","478300","Dwg&Lot","2006","1746","1320","14892","3","Yes","2","Single-family detached (includes detached townhouses)","One story","Gilbert","913478"
"0527108090","4316 HARRISON CIR","274725","9/1/2006 12:00:00 AM","Partial","329400","Dwg&Lot","2006","2021","868","23257","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","700396"
"0527210040","1413 PANORAMIC CT","545224","9/1/2006 12:00:00 AM","Partial","684500","Dwg&Lot","2006","3390","1300","18062","5","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","612967"
"0527210050","1407 PANORAMIC CT","382000","4/1/2015 12:00:00 AM","Normal","431900","Dwg&Lot","2006","2474","850","12292","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","201503612"
"0527212040","4020 EDGEWATER DR","355000","3/1/2015 12:00:00 AM","Normal","340700","Dwg&Lot","2006","2495","0","12438","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","201502129"
"0527214060","4008 FRANCES E DAVIS CT","535000","7/1/2006 12:00:00 AM","Partial","603600","Dwg&Lot","2006","2698","1206","16052","4","Yes","1","Single-family detached (includes detached townhouses)","One story","Stonebr","201012024"
"0527216050","4117 LAURA CT","438780","10/1/2006 12:00:00 AM","Partial","468400","Dwg&Lot","2006","2945","0","13682","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","613551"
"0527216080","4120 LAURA CT","591587","6/1/2007 12:00:00 AM","Partial","740800","Dwg&Lot","2006","2338","2005","51974","4","Yes","2","Single-family detached (includes detached townhouses)","One story","Stonebr","706898"
"0527216090","4114 LAURA CT","124900","6/1/2006 12:00:00 AM","Normal","741900","Dwg&Lot","2006","3190","2073","28944","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Stonebr","607391"
"0527252050","3909 HOOVER AVE","332000","6/1/2013 12:00:00 AM","Normal","330400","Dwg&Lot","2006","1612","1062","8035","2","Yes","1","Townhouse:  end unit","One story","Stonebr","201307866"
"0527252060","3905 HOOVER AVE","44000","12/1/2006 12:00:00 AM","Normal","339000","Dwg&Lot","2006","1672","0","8061","2","Yes","1","Townhouse:  end unit","One story","Stonebr","615217"
"0527256030","1309 KINYON CIR","441929","1/1/2007 12:00:00 AM","Normal","534000","Dwg&Lot","2006","2582","1558","14082","1","Yes","1","Single-family detached (includes detached townhouses)","One story","Stonebr","700931"
"0527256040","1303 KINYON CIR","525000","8/1/2016 12:00:00 AM","Normal","530800","Dwg&Lot","2006","2042","1452","13870","3","Yes","1","Single-family detached (includes detached townhouses)","One story","Stonebr","201608353"
"0527365040","2920 SOMERSET DR","263000","7/1/2012 12:00:00 AM","Normal","261100","Dwg&Lot","2006","1552","1452","7842","3","Yes","1","Single-family detached (includes detached townhouses)","One story","Somerst","201208466"
"0527401060","1310 TOP O HOLLOW RD","310000","5/1/2014 12:00:00 AM","Normal","324800","Dwg&Lot","2006","1872","372","12000","2","Yes","1","Single-family detached (includes detached townhouses)","One story","N Ames","201403734"
"0528102040","4303 WEMBLEY AVE","348000","7/1/2014 12:00:00 AM","Normal","334000","Dwg&Lot","2006","1710","1172","12456","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","201406073"
"0528102050","4311 WEMBLEY AVE","378700","12/1/2013 12:00:00 AM","Normal","386900","Dwg&Lot","2006","1803","1138","12469","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","201314558"
"0528102060","4317 WEMBLEY AVE","54500","12/1/2005 12:00:00 AM","Normal","388200","Dwg&Lot","2006","2088","1426","14810","2","Yes","2","Single-family detached (includes detached townhouses)","One story","NRidgHt","515773"
"0528102070","4321 WEMBLEY AVE","422000","7/1/2015 12:00:00 AM","Normal","331400","Dwg&Lot","2006","2600","0","25137","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201507404"
"0528102080","3333 SEDWICK ST","457000","6/1/2013 12:00:00 AM","Normal","419300","Dwg&Lot","2006","2589","1369","16387","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201306809"
"0528102120","3305 SEDWICK ST","359900","8/1/2015 12:00:00 AM","Normal","355200","Dwg&Lot","2006","1694","1134","11825","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","201508356"
"0528104020","3123 SEDWICK ST","52000","2/1/2006 12:00:00 AM","Normal","280700","Dwg&Lot","2006","1561","1246","12700","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","602421"
"0528106010","3332 STOCKBURY ST","342643","9/1/2006 12:00:00 AM","Partial","379800","Dwg&Lot","2006","2596","0","16259","4","Yes","0","Single-family detached (includes detached townhouses)","Two story","NRidgHt","611460"
"0528106040","3306 STOCKBURY ST","390000","12/1/2014 12:00:00 AM","Normal","390000","Dwg&Lot","2006","2121","1191","14450","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","201501677"
"0528106060","3206 STOCKBURY ST","328000","7/1/2015 12:00:00 AM","Normal","305800","Dwg&Lot","2006","2406","0","13440","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201507525"
"0528106070","3209 WESTON DR","325000","11/1/2009 12:00:00 AM","Normal","346300","Dwg&Lot","2006","1652","1572","13173","2","Yes","2","Single-family detached (includes detached townhouses)","One story","NRidgHt","914427"
"0528106080","3217 WESTON DR","72000","4/1/2006 12:00:00 AM","Normal","351200","Dwg&Lot","2006","2074","1150","14646","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","604997"
"0528110050","3218 SEDWICK ST","470000","5/1/2012 12:00:00 AM","Normal","462900","Dwg&Lot","2006","2076","1386","13891","2","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","201205797"
"0528110060","3208 SEDWICK ST","55000","4/1/2006 12:00:00 AM","Normal","406700","Dwg&Lot","2006","2298","1337","14150","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201410625"
"0528110070","3207 STOCKBURY ST","405000","11/1/2012 12:00:00 AM","Normal","396800","Dwg&Lot","2006","1930","1398","14226","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","21213770"
"0528110100","3313 STOCKBURY ST","380000","3/1/2007 12:00:00 AM","Normal","473100","Dwg&Lot","2006","2643","1410","13693","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","702761"
"0528112010","3128 STOCKBURY ST","293000","9/1/2006 12:00:00 AM","Partial","348400","Dwg&Lot","2006","2030","0","12228","4","Yes","0","Single-family detached (includes detached townhouses)","One story","NRidgHt","612104"
"0528112150","3125 WESTON DR","250000","5/1/2007 12:00:00 AM","Normal","268100","Dwg&Lot","2006","1634","0","11428","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","705573"
"0528114050","3218 WESTON DR","460000","7/1/2014 12:00:00 AM","Normal","455600","Dwg&Lot","2006","1976","1640","14977","2","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","201406508"
"0528118030","3317 PRESTON CIR","390000","10/1/2008 12:00:00 AM","Abnorml","448900","Dwg&Lot","2006","2748","1420","13418","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","901772"
"0528120020","3120 WESTON DR","302000","5/1/2011 12:00:00 AM","Normal","329600","Dwg&Lot","2006","1639","1323","11146","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","201105073"
"0528120170","3127 BECKLEY ST","300000","2/1/2009 12:00:00 AM","Normal","298800","Dwg&Lot","2006","1531","1037","10872","2","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","201407881"
"0528142060","3022 BECKLEY ST","328000","7/1/2015 12:00:00 AM","Normal","308800","Dwg&Lot","2006","2389","0","10672","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201507378"
"0528144010","3023 HARRISON RD","235000","9/1/2012 12:00:00 AM","Normal","262600","Dwg&Lot","2006","1607","1129","11070","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201211040"
"0528144030","3011 HARRISON RD","317000","7/1/2013 12:00:00 AM","Normal","288500","Dwg&Lot","2006","1970","472","11065","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201309129"
"0528150040","3210 WESTON DR","372000","6/1/2007 12:00:00 AM","Normal","420700","Dwg&Lot","2006","1802","1544","13615","3","Yes","2","Single-family detached (includes detached townhouses)","One story","NRidgHt","706395"
"0528172060","3016 HARRISON RD","255900","7/1/2009 12:00:00 AM","Normal","265500","Dwg&Lot","2006","1606","0","9658","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","910200"
"0528172075","3004 HARRISON RD","350000","7/1/2015 12:00:00 AM","Normal","317700","Dwg&Lot","2006","2036","1000","10732","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201507265"
"0528181050","2910 ROXBORO DR","205000","4/1/2010 12:00:00 AM","Normal","198800","Dwg&Lot","2006","1370","24","7132","2","Yes","1","Townhouse:  end unit","One story","NRidgHt","1003928"
"0528181060","2908 ROXBORO DR","226000","6/1/2014 12:00:00 AM","Normal","277100","Dwg&Lot","2006","1556","950","4590","2","Yes","1","Townhouse:  inner unit","One story","NRidgHt","201404941"
"0528181070","2904 ROXBORO DR","258000","5/1/2014 12:00:00 AM","Normal","265700","Dwg&Lot","2006","1554","906","4590","2","Yes","1","Townhouse:  inner unit","One story","NRidgHt","201404061"
"0528181080","2902 ROXBORO DR","202500","10/1/2007 12:00:00 AM","Normal","198800","Dwg&Lot","2006","1370","24","6442","2","Yes","1","Townhouse:  end unit","One story","NRidgHt","713633"
"0528186100","3038 BURNHAM DR","332200","6/1/2006 12:00:00 AM","Partial","334800","Dwg&Lot","2006","1686","1023","7740","1","Yes","1","Townhouse:  end unit","One story","NRidgHt","608070"
"0528186110","3032 BURNHAM DR","310090","6/1/2006 12:00:00 AM","Partial","295400","Dwg&Lot","2006","1666","415","6373","2","Yes","1","Townhouse:  end unit","One story","NRidgHt","608249"
"0528186160","3703 CHILTON AVE","234250","6/1/2008 12:00:00 AM","Normal","216500","Dwg&Lot","2006","1342","846","6240","2","Yes","1","Townhouse:  end unit","One story","NRidgHt","201411418"
"0528186170","3629 CHILTON AVE","219500","2/1/2008 12:00:00 AM","Normal","208200","Dwg&Lot","2006","1342","24","6240","2","Yes","1","Townhouse:  end unit","One story","NRidgHt","802218"
"0528186180","3623 CHILTON AVE","254000","12/1/2009 12:00:00 AM","Normal","235900","Dwg&Lot","2006","1324","863","6240","2","Yes","1","Townhouse:  end unit","One story","NRidgHt","1000835"
"0528186190","3617 CHILTON AVE","221370","9/1/2007 12:00:00 AM","Partial","208200","Dwg&Lot","2006","1342","24","6240","2","Yes","1","Townhouse:  end unit","One story","NRidgHt","201107930"
"0528218080","4213 CRESTMOOR AVE","200000","10/1/2013 12:00:00 AM","Normal","223100","Dwg&Lot","2006","1492","626","10237","3","Yes","0","Single-family detached (includes detached townhouses)","Two story","Gilbert","201313149"
"0528218100","4205 CRESTMOOR AVE","222000","7/1/2015 12:00:00 AM","Normal","183700","Dwg&Lot","2006","1409","0","13204","3","Yes","0","Single-family detached (includes detached townhouses)","Two story","Gilbert","201507295"
"0528218130","4111 CRESTMOOR AVE","174000","12/1/2010 12:00:00 AM","Normal","205400","Dwg&Lot","2006","1496","0","17104","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","201608142"
"0528218140","4107 CRESTMOOR AVE","219210","11/1/2006 12:00:00 AM","Partial","255700","Dwg&Lot","2006","1863","0","14054","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","614074"
"0528221010","2714 LAUREL ST","174190","7/1/2006 12:00:00 AM","Partial","241400","Dwg&Lot","2006","1326","1031","11660","3","Yes","0","Single-family detached (includes detached townhouses)","One story","Gilbert","608398"
"0528221030","4215 WELBECK DR","210000","9/1/2015 12:00:00 AM","Normal","229700","Dwg&Lot","2006","1495","700","8857","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Gilbert","201509334"
"0528221040","4211 WELBECK DR","196500","3/1/2014 12:00:00 AM","Abnorml","224200","Dwg&Lot","2006","1746","0","9729","4","Yes","0","Single-family detached (includes detached townhouses)","Two story","Gilbert","201402246"
"0528221100","4220 CRESTMOOR AVE","172785","5/1/2006 12:00:00 AM","Partial","202300","Dwg&Lot","2006","1456","0","15578","3","Yes","0","Single-family detached (includes detached townhouses)","Two story","Gilbert","606321"
"0528222020","4116 WELBECK DR","210000","2/1/2016 12:00:00 AM","Normal","220200","Dwg&Lot","2006","1492","382","9073","3","Yes","0","Single-family detached (includes detached townhouses)","Two story","Gilbert","201601180"
